id,judge_name
1,HON'BLE DR. (MRS.) JUSTICE I. SHAH
2,HON'BLE DR. MRS. JUSTICE INDIRA SHAH 
3,HON'BLE MR. D.K. SHARMA CONCILIATOR 
4,HON'BLE MR. D.K. SHARMAH CONCILIATOR
5,HON'BLE MR. DHARMENDRA KR. SHARMAH CONCILIATOR
6,HON'BLE MR. JUSTICE A. HAZARIKA
7,HON'BLE MR. JUSTICE A. POTSANGBAM
8,HON'BLE MR. JUSTICE A.B. PAL 
9,HON'BLE MR. JUSTICE A.C. UPADHAYA 
10,HON'BLE MR. JUSTICE A.C. UPADHAYAY
11,HON'BLE MR. JUSTICE A.C. UPADHYAY
12,HON'BLE MR. JUSTICE A.C. UPADHYAYA
13,HON'BLE MR. JUSTICE A.H. SAIKIA
14,HON'BLE MR. JUSTICE A.K. GOEL
15,HON'BLE MR. JUSTICE A.K. GOSWAMI  
16,HON'BLE MR. JUSTICE A.M. BUJOR BARUA
17,HON'BLE MR. JUSTICE A.M. SAPRE
18,HON'BLE MR. JUSTICE A.P. SUBBA
19,HON'BLE MR. JUSTICE A.SOK POTSANGBAM
20,HON'BLE MR. JUSTICE ABTAB H. SAIKIA
21,HON'BLE MR. JUSTICE ACHINTYA MALLA BUJOR BARUA
22,HON'BLE MR. JUSTICE AFTAB H. SAIKIA 
23,HON'BLE MR. JUSTICE AJIT BORTHAKUR 
24,HON'BLE MR. JUSTICE AMITAVA ROY 
25,HON'BLE MR. JUSTICE ARUP KUMAR GOSWAMI
26,HON'BLE MR. JUSTICE ASOK POTSANGBAM
27,HON'BLE MR. JUSTICE B.D. AGARWAL
28,HON'BLE MR. JUSTICE B.D. AGARWALA
29,HON'BLE MR. JUSTICE B.D. GOSWAMI
30,HON'BLE MR. JUSTICE B.H.N. SARMA 
31,HON'BLE MR. JUSTICE B.K. KATAKEY
32,HON'BLE MR. JUSTICE B.K. SARMA
33,HON'BLE MR. JUSTICE B.K. SHARMA
34,HON'BLE MR. JUSTICE B.K. UJJAL BHUYAN
35,HON'BLE MR. JUSTICE B.P. KATAKEY
36,HON'BLE MR. JUSTICE B.P. KATAKY 
37,HON'BLE MR. JUSTICE C.R. SARMA 
38,HON'BLE MR. JUSTICE C.R. SHARMA
39,HON'BLE MR. JUSTICE H. BARUA
40,HON'BLE MR. JUSTICE H. BARUAH
41,HON'BLE MR. JUSTICE H. ROY
42,HON'BLE MR. JUSTICE H.N. PAUL
43,HON'BLE MR. JUSTICE H.N. SARMA
44,HON'BLE MR. JUSTICE H.N. SHARMA
45,HON'BLE MR. JUSTICE HITESH KUMAR SARMA
46,HON'BLE MR. JUSTICE HRIA. K. GOSWAMI
47,HON'BLE MR. JUSTICE HRISHIKESH ROY
48,HON'BLE MR. JUSTICE I.A. ANSARI
49,HON'BLE MR. JUSTICE I.B.D. AGARWAL
50,HON'BLE MR. JUSTICE I.H. SAIKIA
51,HON'BLE MR. JUSTICE K. MERUNO 
52,HON'BLE MR. JUSTICE K. SHREEDHAR RAO 
53,HON'BLE MR. JUSTICE K. SRIDHAR RAO
54,HON'BLE MR. JUSTICE K.R. SURANA
55,HON'BLE MR. JUSTICE KALYAN RAI SURANA
56,HON'BLE MR. JUSTICE KALYAN SURANA
57,HON'BLE MR. JUSTICE L.S. JAMIR
58,HON'BLE MR. JUSTICE L.S. SAMIR
59,HON'BLE MR. JUSTICE LANUSUNGKUM JAMIR
60,HON'BLE MR. JUSTICE LANUSUNGUM JAMIR
61,HON'BLE MR. JUSTICE M. BHUYAN
62,HON'BLE MR. JUSTICE M. ZOTHANKHUMA
63,HON'BLE MR. JUSTICE M.B.K. SINGH
64,HON'BLE MR. JUSTICE M.R. PATHAK
65,HON'BLE MR. JUSTICE MAIBAM B.K. SINGH 
66,HON'BLE MR. JUSTICE MAMOJIT BHUYAN
67,HON'BLE MR. JUSTICE MANASH RANJAN PATHAK
68,HON'BLE MR. JUSTICE MANIJIT BHUYAN
69,HON'BLE MR. JUSTICE MANOJIT BHUYAN
70,HON'BLE MR. JUSTICE MICHAEL ZOTHANKHUMA
71,HON'BLE MR. JUSTICE MIR ALFAZ ALI
72,HON'BLE MR. JUSTICE MONOJIT BHUYAN
73,HON'BLE MR. JUSTICE MUTUM B.K. SINGH
74,HON'BLE MR. JUSTICE N. CHAUDHURY
75,HON'BLE MR. JUSTICE N. CHOUDHURY 
76,HON'BLE MR. JUSTICE N. KOTISWAR SINGH
77,HON'BLE MR. JUSTICE N. MANOJIT BHUYAN
78,HON'BLE MR. JUSTICE N.K. SINGH
79,HON'BLE MR. JUSTICE NELSON SAILO
80,HON'BLE MR. JUSTICE NELSOR SAILO
81,HON'BLE MR. JUSTICE NISHITENDU CHAUDHURY
82,HON'BLE MR. JUSTICE P.G. AGARWAL
83,HON'BLE MR. JUSTICE P.K. DEKA
84,HON'BLE MR. JUSTICE P.K. MUSAHARI
85,HON'BLE MR. JUSTICE P.K. MUSAHARY 
86,HON'BLE MR. JUSTICE P.K. MUSHAHARY 
87,HON'BLE MR. JUSTICE P.K. PHUKAN
88,HON'BLE MR. JUSTICE P.K. SAIKIA
89,HON'BLE MR. JUSTICE PARAN KR. PHUKAN
90,HON'BLE MR. JUSTICE PARAN KUMAR PHUKAN
91,HON'BLE MR. JUSTICE PARAN PHUKAN
92,HON'BLE MR. JUSTICE PRASANTA KUMAR DEKA
93,HON'BLE MR. JUSTICE R.B. MISHRA
94,HON'BLE MR. JUSTICE R.B. MISRA
95,HON'BLE MR. JUSTICE RANJAN GOGOI
96,HON'BLE MR. JUSTICE S. SERTO
97,HON'BLE MR. JUSTICE S. TALAPATRA 
98,HON'BLE MR. JUSTICE S.C. DAS
99,HON'BLE MR. JUSTICE S.R. SEN 
100,HON'BLE MR. JUSTICE SONGKHUPCHUNG SERTO
101,HON'BLE MR. JUSTICE SUMAN SHYAM
102,HON'BLE MR. JUSTICE T. NANDAKUMAR SINGH
103,HON'BLE MR. JUSTICE T. VAIPHEI
104,HON'BLE MR. JUSTICE T.N.K. SINGH
105,HON'BLE MR. JUSTICE U. BHUYAN
106,HON'BLE MR. JUSTICE U.B. SAHA
107,HON'BLE MR. JUSTICE UJJAL BHUHAN
108,HON'BLE MRS. JUSTICE A. HAZARIKA 
109,HON'BLE MRS. JUSTICE A.C. UPADHYAY
110,HON'BLE MRS. JUSTICE ANIMA HAZARIKA
111,HON'BLE MRS. JUSTICE DR. INDIRA SHAH
112,HON'BLE MRS. JUSTICE H. BARUAH 
113,HON'BLE MRS. JUSTICE I.A. ANSARI
114,HON'BLE MRS. JUSTICE M.R. PATHAK
115,HON'BLE MRS. JUSTICE R.K. PHUKAN
116,HON'BLE MRS. JUSTICE RUMI KUMAR PHUKAN
117,HON'BLE MRS. JUSTICE RUMI KUMARI PHUKAN 
118,HON'BLE MRS. JUSTICE RUMI PHUKAN
119,HON'BLE MRS. JUSTICE S.C. DAS
120,HON'BLE MRS. R.D. MAZUMDAR CONCILIATOR
121,THE CHEIF JUSTICE MR. A.M. SAPRE
122,THE CHEIF JUSTICE MR. ABHAY MANOHAR SAPRE 
123,THE CHEIF JUSTICE MR. AJIT SINGH
124,THE CHIEF JUSTICE (ACTING) MR. A.K. GOEL
125,THE CHIEF JUSTICE (ACTING) MR. D. BISWAS  
126,THE CHIEF JUSTICE (ACTING) MR. K. SHREEDHAR RAO
127,THE CHIEF JUSTICE (ACTING) MR. K. SREEDHAR RAO 
128,THE CHIEF JUSTICE (ACTING) MR. RANJAN GOGOI  
129,THE CHIEF JUSTICE (ACTING) MR. T. VAIPHEI  
130,THE CHIEF JUSTICE (ACTING) MR. UJJAL BHUYAN
131,THE CHIEF JUSTICE MR. A.K. GOEL 
132,THE CHIEF JUSTICE MR. A.M. SAPRE
133,THE CHIEF JUSTICE MR. ABHAY MANOHAR SAPRE
134,THE CHIEF JUSTICE MR. ADARSH KUMAR GOEL
135,THE CHIEF JUSTICE MR. AJIT SINGH  
136,THE CHIEF JUSTICE MR. B. SUDERSHAN REDDY
137,THE CHIEF JUSTICE MR. B.D. AGARWAL
138,THE CHIEF JUSTICE MR. B.K. SHARMA
139,THE CHIEF JUSTICE MR. B.S. REDDY
140,THE CHIEF JUSTICE MR. H.N. SARMA
141,THE CHIEF JUSTICE MR. J. CHALAMESWAR 
142,THE CHIEF JUSTICE MR. J. CHALEMESWAR 
143,THE CHIEF JUSTICE MR. J. CHELAMESWAR 
144,THE CHIEF JUSTICE MR. JASTI CHELAMESWAR
145,THE CHIEF JUSTICE MR. MADAN B. LAKUR
146,THE CHIEF JUSTICE MR. MADAN B. LOKUR
147,THE CHIEF JUSTICE MR. R.S. GARG 
148,THE CHIEF JUSTICE MR. T.N.K. SINGH
149,THE CHIEF JUSTICE MR. U.B. SAHA
